model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
GPT-6 Astra,complete,ladder:ai:100,2050,eci_p10,0.9997,0.9992,0.9998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,eci_p10,0.996,0.9992,0.9979,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,eci_p10,,0.9992,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,eci_p10,0.495,0.9992,0.68,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,eci_p25,0.9998,0.9993000000000001,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,eci_p25,0.996,0.9993000000000001,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,eci_p25,,0.9993000000000001,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,eci_p25,0.7425,0.9993000000000001,0.765,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,eci_p50,0.9999,0.9994000000000001,0.99995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,eci_p50,0.997,0.9994000000000001,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,eci_p50,,0.9994000000000001,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,eci_p50,0.99,0.9994000000000001,0.85,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,eci_p75,0.99995,0.99945,0.99997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,eci_p75,0.997,0.99945,0.998,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,eci_p75,,0.99945,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,eci_p75,0.99,0.99945,0.977,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2050,eci_p90,0.99997,0.999475,0.99998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2050,eci_p90,0.998,0.999475,0.9981,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2050,eci_p90,,0.999475,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2050,eci_p90,0.99,0.999475,0.99,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,unconditional,0.99995,0.99945,0.99997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,unconditional,0.997,0.99945,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,unconditional,,0.99945,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,unconditional,0.99,0.99945,0.95,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,sq,0.99998,0.999465,0.99998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,sq,0.997,0.999465,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,sq,,0.999465,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,sq,0.99,0.999465,0.95,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p1,0.99998,0.999475,0.99999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p1,0.997,0.999475,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p1,,0.999475,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p1,0.99,0.999475,0.99,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p2a,0.9999,0.999425,0.99995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p2a,0.996,0.999425,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p2a,,0.999425,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p2a,0.891,0.999425,0.902,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p2b,0.9998,0.999375,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p2b,0.995,0.999375,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p2b,,0.999375,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p2b,0.594,0.999375,0.807,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p3a,0.9998,0.9994000000000001,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p3a,0.996,0.9994000000000001,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p3a,,0.9994000000000001,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p3a,0.8415,0.9994000000000001,0.855,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p3b,0.9995,0.99935,0.99985,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p3b,0.995,0.99935,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p3b,,0.99935,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p3b,0.693,0.99935,0.76,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p4,0.9997,0.9994000000000001,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p4,0.996,0.9994000000000001,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p4,,0.9994000000000001,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p4,0.792,0.9994000000000001,0.807,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,p5,0.999,0.99895,0.9998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,p5,0.992,0.99895,0.9989,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,p5,,0.99895,0.9989,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,p5,0.396,0.99895,0.57,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,eci_p10,0.9999,0.99935,0.9999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,eci_p10,0.996,0.99935,0.9989,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,eci_p10,,0.99935,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,eci_p10,0.495,0.99935,0.76,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,eci_p25,0.99993,0.999425,0.99995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,eci_p25,0.996,0.999425,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,eci_p25,,0.999425,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,eci_p25,0.7425,0.999425,0.855,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,eci_p50,0.99995,0.99945,0.99997,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,eci_p50,0.997,0.99945,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,eci_p50,,0.99945,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,eci_p50,0.99,0.99945,0.95,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,eci_p75,0.99997,0.999475,0.99998,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,eci_p75,0.997,0.999475,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,eci_p75,,0.999475,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,eci_p75,0.99,0.999475,0.99,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,2100,eci_p90,0.99999,0.999485,0.99999,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,2100,eci_p90,0.998,0.999485,0.999,Original Opus 5
Fable 5.1,refused,ladder:ai:100,2100,eci_p90,,0.999485,0.999,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,2100,eci_p90,0.99,0.999485,0.99,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,unconditional,0.65,0.565,0.48,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,unconditional,0.88,0.565,0.73,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,unconditional,,0.565,0.65,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,unconditional,0.2,0.565,0.05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,sq,0.65,0.565,0.48,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,sq,0.89,0.565,0.737,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,sq,,0.565,0.65,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,sq,0.2,0.565,0.05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p1,0.67,0.575,0.5,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p1,0.885,0.575,0.733,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p1,,0.575,0.65,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p1,0.21,0.575,0.052,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p2a,0.59,0.544,0.44,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p2a,0.87,0.544,0.728,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p2a,,0.544,0.648,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p2a,0.18,0.544,0.047,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p2b,0.54,0.534,0.42,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p2b,0.85,0.534,0.723,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p2b,,0.534,0.648,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p2b,0.12,0.534,0.042,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p3a,0.51,0.5165,0.39,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p3a,0.86,0.5165,0.724,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p3a,,0.5165,0.643,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p3a,0.17,0.5165,0.045,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p3b,0.44,0.4955,0.35,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p3b,0.84,0.4955,0.72,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p3b,,0.4955,0.641,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p3b,0.14,0.4955,0.04,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p4,0.49,0.518,0.4,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p4,0.865,0.518,0.725,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p4,,0.518,0.636,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p4,0.16,0.518,0.042,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,p5,0.35,0.4655,0.3,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,p5,0.8,0.4655,0.714,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,p5,,0.4655,0.631,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,p5,0.08,0.4655,0.03,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,eci_p10,0.49,0.48050000000000004,0.33,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,eci_p10,0.85,0.48050000000000004,0.702,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,eci_p10,,0.48050000000000004,0.631,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,eci_p10,0.1,0.48050000000000004,0.04,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,eci_p25,0.57,0.5155000000000001,0.39,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,eci_p25,0.865,0.5155000000000001,0.718,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,eci_p25,,0.5155000000000001,0.641,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,eci_p25,0.15,0.5155000000000001,0.045,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,eci_p50,0.64,0.555,0.46,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,eci_p50,0.88,0.555,0.73,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,eci_p50,,0.555,0.65,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,eci_p50,0.2,0.555,0.05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,eci_p75,0.73,0.6055,0.55,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,eci_p75,0.9,0.6055,0.743,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,eci_p75,,0.6055,0.661,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,eci_p75,0.3,0.6055,0.057,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,6mo,eci_p90,0.81,0.6655,0.66,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,6mo,eci_p90,0.92,0.6655,0.758,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,6mo,eci_p90,,0.6655,0.671,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,6mo,eci_p90,0.5,0.6655,0.067,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,unconditional,0.82,0.7849999999999999,0.74,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,unconditional,0.93,0.7849999999999999,0.83,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,unconditional,,0.7849999999999999,0.83,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,unconditional,0.4,0.7849999999999999,0.1,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,sq,0.84,0.79,0.75,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,sq,0.94,0.79,0.84,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,sq,,0.79,0.83,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,sq,0.4,0.79,0.1,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p1,0.85,0.8,0.77,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p1,0.935,0.8,0.834,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p1,,0.8,0.83,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p1,0.42,0.8,0.105,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p2a,0.77,0.7535,0.69,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p2a,0.92,0.7535,0.817,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p2a,,0.7535,0.828,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p2a,0.36,0.7535,0.095,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p2b,0.7,0.7170000000000001,0.65,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p2b,0.9,0.7170000000000001,0.784,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p2b,,0.7170000000000001,0.828,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p2b,0.24,0.7170000000000001,0.085,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p3a,0.68,0.71,0.63,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p3a,0.915,0.71,0.79,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p3a,,0.71,0.826,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p3a,0.34,0.71,0.09,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p3b,0.59,0.667,0.57,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p3b,0.895,0.667,0.764,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p3b,,0.667,0.824,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p3b,0.28,0.667,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p4,0.66,0.7235,0.65,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p4,0.92,0.7235,0.797,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p4,,0.7235,0.821,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p4,0.32,0.7235,0.085,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,p5,0.48,0.61,0.49,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,p5,0.86,0.61,0.73,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,p5,,0.61,0.818,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,p5,0.16,0.61,0.06,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,eci_p10,0.69,0.675,0.55,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,eci_p10,0.9,0.675,0.8,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,eci_p10,,0.675,0.818,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,eci_p10,0.2,0.675,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,eci_p25,0.76,0.728,0.64,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,eci_p25,0.915,0.728,0.816,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,eci_p25,,0.728,0.824,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,eci_p25,0.3,0.728,0.09,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,eci_p50,0.82,0.7749999999999999,0.72,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,eci_p50,0.93,0.7749999999999999,0.83,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,eci_p50,,0.7749999999999999,0.83,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,eci_p50,0.4,0.7749999999999999,0.1,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,eci_p75,0.88,0.8285,0.82,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,eci_p75,0.945,0.8285,0.845,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,eci_p75,,0.8285,0.837,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,eci_p75,0.6,0.8285,0.115,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,12mo,eci_p90,0.93,0.853,0.9,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,12mo,eci_p90,0.96,0.853,0.863,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,12mo,eci_p90,,0.853,0.843,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,12mo,eci_p90,0.99,0.853,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,unconditional,0.95,0.945,0.95,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,unconditional,0.97,0.945,0.94,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,unconditional,,0.945,0.96,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,unconditional,0.7,0.945,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,sq,0.965,0.9524999999999999,0.96,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,sq,0.975,0.9524999999999999,0.945,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,sq,,0.9524999999999999,0.96,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,sq,0.7,0.9524999999999999,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p1,0.97,0.955,0.97,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p1,0.973,0.955,0.942,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p1,,0.955,0.96,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p1,0.735,0.955,0.21,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p2a,0.925,0.9395,0.94,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p2a,0.965,0.9395,0.939,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p2a,,0.9395,0.959,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p2a,0.63,0.9395,0.19,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p2b,0.88,0.922,0.91,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p2b,0.95,0.922,0.934,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p2b,,0.922,0.958,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p2b,0.42,0.922,0.17,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p3a,0.86,0.9125000000000001,0.89,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p3a,0.96,0.9125000000000001,0.935,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p3a,,0.9125000000000001,0.958,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p3a,0.595,0.9125000000000001,0.18,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p3b,0.78,0.891,0.85,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p3b,0.945,0.891,0.932,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p3b,,0.891,0.958,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p3b,0.49,0.891,0.16,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p4,0.85,0.923,0.91,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p4,0.962,0.923,0.936,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p4,,0.923,0.957,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p4,0.56,0.923,0.17,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,p5,0.66,0.8485,0.77,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,p5,0.92,0.8485,0.927,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,p5,,0.8485,0.955,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,p5,0.28,0.8485,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,eci_p10,0.88,0.896,0.87,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,eci_p10,0.95,0.896,0.922,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,eci_p10,,0.896,0.956,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,eci_p10,0.35,0.896,0.16,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,eci_p25,0.92,0.926,0.92,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,eci_p25,0.96,0.926,0.932,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,eci_p25,,0.926,0.958,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,eci_p25,0.525,0.926,0.18,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,eci_p50,0.95,0.943,0.946,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,eci_p50,0.97,0.943,0.94,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,eci_p50,,0.943,0.96,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,eci_p50,0.7,0.943,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,eci_p75,0.971,0.956,0.973,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,eci_p75,0.978,0.956,0.947,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,eci_p75,,0.956,0.962,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,eci_p75,0.99,0.956,0.23,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2028,eci_p90,0.985,0.967,0.989,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2028,eci_p90,0.986,0.967,0.956,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2028,eci_p90,,0.967,0.964,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2028,eci_p90,0.99,0.967,0.27,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2030,unconditional,0.98,0.9824999999999999,0.987,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2030,unconditional,0.98,0.9824999999999999,0.97,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2030,unconditional,,0.9824999999999999,0.985,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2030,unconditional,0.85,0.9824999999999999,0.35,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2030,sq,0.989,0.985,0.993,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2030,sq,0.983,0.985,0.973,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2030,sq,,0.985,0.985,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2030,sq,0.85,0.985,0.35,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2030,p1,0.991,0.9864999999999999,0.995,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2030,p1,0.982,0.9864999999999999,0.971,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2030,p1,,0.9864999999999999,0.985,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:1k,2030,p1,0.8925,0.9864999999999999,0.367,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:1k,2030,p2a,0.97,0.9795,0.984,Original GPT-6 Astra
Opus 5,complete,ladder:ai:1k,2030,p2a,0.977,0.9795,0.969,Original Opus 5
Fable 5.1,refused,ladder:ai:1k,2030,p2a,,0.9795,0.984,Original Fable 5.1
